名前,画像URL,説明
アランマ,https://static.wikia.nocookie.net/gensin-impact/images/0/00/NPC_Aranma.png,「森林書」のメインガイド。緑色の帽子が特徴。
アラジャ,https://static.wikia.nocookie.net/gensin-impact/images/a/a2/NPC_Araja.png,ヴァナラーナの長老。
アラパカティ,https://static.wikia.nocookie.net/gensin-impact/images/d/d7/NPC_Arapakati.png,料理修行の兄弟たちの妹分。
アラチャトラ,https://static.wikia.nocookie.net/gensin-impact/images/1/12/NPC_Arachatora.png,キノコ料理が得意な料理修行中のアランナラ。
アラマニ,https://static.wikia.nocookie.net/gensin-impact/images/9/9d/NPC_Aramani.png,ヴァナラーナで特産品を売ってくれる商人。
アランナキュラ,https://static.wikia.nocookie.net/gensin-impact/images/2/23/NPC_Aranakula.png,キノコが苦手で、バラの庭園を管理している。
アラカヴィ,https://static.wikia.nocookie.net/gensin-impact/images/4/4c/NPC_Arakavi.png,お祭りの歌を集める担当。
アラヤサ,https://static.wikia.nocookie.net/gensin-impact/images/c/c1/NPC_Arayasa.png,歌が得意。アシュヴァッタ神殿に現れる。
アラダス,https://static.wikia.nocookie.net/gensin-impact/images/7/7b/NPC_Aradasa.png,歌が得意。独特な話し方をする。
アラスドニ,https://static.wikia.nocookie.net/gensin-impact/images/c/cd/NPC_Arasudra.png,歌が得意。三兄弟の一人。
アラサカ,https://static.wikia.nocookie.net/gensin-impact/images/d/df/NPC_Arasaka.png,最高に甘い「砂糖」を探している料理修行者。
アラパパス,https://static.wikia.nocookie.net/gensin-impact/images/1/1a/NPC_Arapas.png,「活水」にこだわるスープの達人。
アラフェシュ,https://static.wikia.nocookie.net/gensin-impact/images/0/01/NPC_Araphala.png,「果実」が大好きで居眠りばかりしている。
アラヴィナイ,https://static.wikia.nocookie.net/gensin-impact/images/0/05/NPC_Aravinay.png,夢の樹の近くで不思議な物語を教えてくれる。
アラカンタ,https://static.wikia.nocookie.net/gensin-impact/images/3/33/NPC_Arakanta.png,競争が大好きで、走るのが速い。
アラギャナ,https://static.wikia.nocookie.net/gensin-impact/images/4/4c/NPC_Aragyana.png,草の種を使って道を切り開いてくれる。
アラムフクンダ,https://static.wikia.nocookie.net/gensin-impact/images/a/a1/NPC_Aramuhukunda.png,かつてナラ・ヴァルナと共に戦った伝説の英雄。
アラパンドゥ,https://static.wikia.nocookie.net/gensin-impact/images/6/6f/NPC_Arapandu.png,ヴァルナ神器を管理しているリーダー。
アラナクラ,https://static.wikia.nocookie.net/gensin-impact/images/1/11/NPC_Aranakula_Sad.png,非常に臆病な性格。
アラバルカ,https://static.wikia.nocookie.net/gensin-impact/images/e/e4/NPC_Araburka.png,最強のアランナラ。遺跡守衛をワンパンする実力。
アラガルマ,https://static.wikia.nocookie.net/gensin-impact/images/d/d1/NPC_Aragaru.png,マラーナを浄化する「アグニホトラ経」の仲間。
アラナガ,https://static.wikia.nocookie.net/gensin-impact/images/d/df/NPC_Aranaga.png,ハグマの実を育てているアランナラ。
アラナキン,https://static.wikia.nocookie.net/gensin-impact/images/d/de/NPC_Aranakin.png,古い歌の旋律を教えてくれる。
アラナラ,https://static.wikia.nocookie.net/gensin-impact/images/3/30/NPC_Aranara.png,一般的な姿のアランナラ（名もなき個体）。
アラムタ,https://static.wikia.nocookie.net/gensin-impact/images/8/82/NPC_Aramuta.png,ヴィマラ村の近くにいるアランナラ。
アラハオ,https://static.wikia.nocookie.net/gensin-impact/images/b/b5/NPC_Arahao.png,高いところに登るのが好きなアランナラ。
アラニシャド,https://static.wikia.nocookie.net/gensin-impact/images/a/aa/NPC_Aranishat.png,戦闘訓練をさせてくれるアランナラ。
アラプラ,https://static.wikia.nocookie.net/gensin-impact/images/c/c5/NPC_Arapura.png,夢のヴァナラーナで出会える個体。
アラシャンク,https://static.wikia.nocookie.net/gensin-impact/images/5/52/NPC_Arashakun.png,洞窟で助けを求めている臆病なアランナラ。
アラリカン,https://static.wikia.nocookie.net/gensin-impact/images/8/8f/NPC_Ararican.png,マシーンや遺跡の仕掛けを調べている。
